a6101000|	ADD R4, R5, R6
a6901000|	ADDV R4, R5, R6
a5101000|	ADD R4, R5
a5901000|	ADDV R4, R5
85fcbf02|	ADD $-1, R4, R5
84fcbf02|	ADD $-1, R4
85fcff02|	ADDV $-1, R4, R5
84fcff02|	ADDV $-1, R4
ac391000|	ADD R14, R13, R12
acb91000|	ADDV R14, R13, R12
ac41c002|	ADDV $16, R13, R12
ac01e002|	ADDV $-2048, R13, R12
acfdff02|	ADDV $-1, R13, R12
ac05e002|	ADDV $-2047, R13, R12
acf9ff02|	ADDV $-2, R13, R12
ac418002|	ADD $16, R13, R12
a6101100|	SUB R4, R5, R6
a6901100|	SUBV R4, R5, R6
a5101100|	SUB R4, R5
a5901100|	SUBV R4, R5
05101100|	NEGW R4, R5
05901100|	NEGV R4, R5
84781200|	SGT R30, R4
85781200|	SGT R30, R4, R5
84f81200|	SGTU R30, R4
85f81200|	SGTU R30, R4, R5
a6901400|	AND R4, R5, R6
a5901400|	AND R4, R5
85044003|	AND $1, R4, R5
84044003|	AND $1, R4
a5101c00|	MUL R4, R5
a6101c00|	MUL R4, R5, R6
a5901d00|	MULV R4, R5
a6901d00|	MULV R4, R5, R6
a5101e00|	MULHV R4, R5
a6101e00|	MULHV R4, R5, R6
a5901e00|	MULHVU R4, R5
a6901e00|	MULHVU R4, R5, R6
28290501|	MULD F10, F9, F8
28a90401|	MULF F10, F9, F8
a5102000|	DIV R4, R5
a6102000|	DIV R4, R5, R6
a5102100|	DIVU R4, R5
a6102100|	DIVU R4, R5, R6
a5102200|	DIVV R4, R5
a6102200|	DIVV R4, R5, R6
a5102300|	DIVVU R4, R5
a6102300|	DIVVU R4, R5, R6
28290701|	DIVD F10, F9, F8
28a90601|	DIVF F10, F9, F8
a5902000|	REM R4, R5
a6902000|	REM R4, R5, R6
a5902100|	REMU R4, R5
a6902100|	REMU R4, R5, R6
a5902200|	REMV R4, R5
a6902200|	REMV R4, R5, R6
a5902300|	REMVU R4, R5
a6902300|	REMVU R4, R5, R6
04020014|	LU12IW $16, R4
24000014|	LU12IW $1, R4
85001700|	MOVW R4, R5
85001500|	MOVV R4, R5
85fc4303|	MOVBU R4, R5
1e020014|	LU12IW $16, R30
85781000|	ADD R30, R4, R5
de038003|	OR $0, R30
ac391400|	NOR R14, R13, R12
acb91500|	XOR R14, R13, R12
ac41c003|	XOR $16, R13, R12
85f81000|	ADDV R30, R4, R5
8500cf00|	MOVHU R4, R5
a5101700|	SLL R4, R5
a6101700|	SLL R4, R5, R6
a5901700|	SRL R4, R5
a6901700|	SRL R4, R5, R6
a5101800|	SRA R4, R5
a6101800|	SRA R4, R5, R6
a5101b00|	ROTR R4, R5
a6101b00|	ROTR R4, R5, R6
a5901800|	SLLV R4, R5
a6901800|	SLLV R4, R5, R6
a5901b00|	ROTRV R4, R5
a6901b00|	ROTRV R4, R5, R6
85904000|	SLL $4, R4, R5
84904000|	SLL $4, R4
85904400|	SRL $4, R4, R5
84904400|	SRL $4, R4
85904800|	SRA $4, R4, R5
84904800|	SRA $4, R4
85904c00|	ROTR $4, R4, R5
84904c00|	ROTR $4, R4
85104100|	SLLV $4, R4, R5
84104100|	SLLV $4, R4
85104d00|	ROTRV $4, R4, R5
84104d00|	ROTRV $4, R4
a6101300|	MASKEQZ R4, R5, R6
a6901300|	MASKNEZ R4, R5, R6
00050048|	BFPT 1(PC)
00040048|	BFPF 1(PC)
80040058|	BEQ R4, 1(PC)
8d110058|	BEQ R12, R13, 4(PC)
a0110040|	BEQ R13, 4(PC)
9ff1ff43|	BEQ R12, -4(PC)
8504005c|	BNE R4, R5, 1(PC)
8004005c|	BNE R4, 1(PC)
8004005c|	BNE R4, 1(PC)
a0140058|	BEQ R5, 5(PC)
a0110058|	BEQ R13, 4(PC)
00ebff5f|	BNE R24, -6(PC)
801d005c|	BNE R12, 7(PC)
85040060|	BLT R4, R5, 1(PC)
80fcff63|	BLTZ R4, -1(PC)
05040060|	BGTZ R5, 1(PC)
80040060|	BLTZ R4, 1(PC)
47d5ff6b|	BLTU R10, R7, -11(PC)
802c0068|	BLTU R4, 11(PC)
85040064|	BGE R4, R5, 1(PC)
80fcff67|	BGEZ R4, -1(PC)
47d5ff6f|	BGEU R10, R7, -11(PC)
802c006c|	BGEU R4, 11(PC)
04d8ff67|	BLEZ R4, -10(PC)
2000004c|	RET
2008004c|	JMP 8(R1)
00040058|	JMP 1(PC)
8000004c|	JMP (R4)
00340050|	JMP 13(PC)
00100050|	JMP 4(PC)
00100054|	CALL 4(PC)
8100004c|	CALL (R4)
00140054|	CALL 5(PC)
a4048029|	MOVW R4, 1(R5)
a404c029|	MOVV R4, 1(R5)
a4040029|	MOVB R4, 1(R5)
ac410029|	MOVB R12, 16(R13)
a4040021|	SC R4, 1(R5)
a4040023|	SCV R4, 1(R5)
a4040028|	MOVB 1(R5), R4
a404002a|	MOVBU 1(R5), R4
a4044028|	MOVH 1(R5), R4
a404402a|	MOVHU 1(R5), R4
a4048028|	MOVW 1(R5), R4
a404802a|	MOVWU 1(R5), R4
a404c028|	MOVV 1(R5), R4
a4040020|	LL 1(R5), R4
a4040022|	LLV 1(R5), R4
a4fc3f20|	LL -1(R5), R4
a4fc3f22|	LLV -1(R5), R4
00002a00|	BREAK
00007238|	DBAR
00002b00|	SYSCALL
00004003|	NOOP
a5900001|	ADDF F4, F5
a6900001|	ADDF F4, F5, F6
28a50001|	ADDF F9, F9, F8
28250101|	ADDD F9, F9, F8
85041401|	ABSF F4, F5
85081401|	ABSD F4, F5
85141401|	NEGF F4, F5
85181401|	NEGD F4, F5
85441401|	SQRTF F4, F5
85481401|	SQRTD F4, F5
a090110c|	CMPGTF F4, F5, FCC0
a090210c|	CMPGTD F4, F5, FCC0
a090130c|	CMPGEF F4, F5, FCC0
a090230c|	CMPGED F4, F5, FCC0
